screen_name,status_text,status_created_at
zoonho,Review Romans 12:2 Psalms 1:1 Today<e2><80><99>s Scripture : Psalms 1:2 https.co/eJ0d9eBKvc,Thu Feb 08 05:51:34 +0000 2018
iamjoonlee,"they<e2><80><99>re also providing free cup noodles, which i think makes this heaven for a stoned college student https.co/6mxIwtkGSv",Thu Feb 08 05:51:23 +0000 2018
reuben_bradley,Am I the only person that gets unreasonably annoyed when public bathrooms don't have those super high powered hand<e2><80><a6> https.co/8hXAnz7NU1,Thu Feb 08 05:51:22 +0000 2018
Anikina_ER,"""We have to cross this bridge at some stage and we will continue to adhere to the roadmap which we agreed with Russ<e2><80><a6> https.co/1VvMHIQzVJ",Thu Feb 08 05:51:13 +0000 2018
LewisJohnsonMG,Saw this at the top of the Bobsled track earlier today &amp; thought...hmmm...this will give everyone an idea of just h<e2><80><a6> https.co/Uw1eBSBlxi,Thu Feb 08 05:50:27 +0000 2018
BOBSLEDR,Congrats to all of those student-athletes who decided to take their skills to the collegiate level. Enjoy the journ<e2><80><a6> https.co/UZ69IkDrsC,Thu Feb 08 05:45:00 +0000 2018
nzolympics,Sarah Walker mention swbmx is going to carry the #OlympicTorch! #Repost mention swbmx <e3><83><bb><e3><83><bb><e3><83><bb> Sooooo excited to carry the Olympic Fl<e2><80><a6> https.co/vxUXGPzqpx,Thu Feb 08 05:44:08 +0000 2018
CoyWire,. mention TeamUSA starting strong at the Olympic Winter Games #PyeongChang2018 with a 9-3 victory in mixed doubles curling<e2><80><a6> https.co/xIaFyGy84N,Thu Feb 08 05:44:04 +0000 2018
ABauer_ATR,But will it be a reasoned decision? <f0><9f><a4><94> https.co/LqtkAyymVT,Thu Feb 08 05:43:41 +0000 2018
JezersekBarbara,Off to Team Reception mention ausolympicteam mention PyeongChang https.co/o44uQRTNbJ,Thu Feb 08 05:43:25 +0000 2018
Ashleighwillmua,Did some makeup testing today with talent over at women<e2><80><99>s hockey <e2><80><9c>Is this too much Makeup?<e2><80><9d><e2><80><a6> https.co/Dx9Crs3ymh,Thu Feb 08 05:42:11 +0000 2018
Ireenw,Only two more days left! Can<e2><80><99>t wait! #olympics #pyeongchang2018 #2018 #speed mention Gangneung Ice Arena https.co/TFEHark15T,Thu Feb 08 05:39:57 +0000 2018
ABauer_ATR,So North Korea didn<e2><80><99>t even broadcast its own parade that it staged purposely on eve of the biggest sporting event i<e2><80><a6> https.co/rTb3FEbKfO,Thu Feb 08 05:37:30 +0000 2018
AffiliateKorea,The latest The Social Seoul Daily! https.co/0sifnP4vS5 #obama #leadership,Thu Feb 08 05:32:49 +0000 2018
terrygannon83, mention JMWaltonJr mention NBCOlympics Appreciate it!,Thu Feb 08 05:29:50 +0000 2018
jeffmetcalfe,U.S. snowboard cross team including Lindsey Jacobellis,Thu Feb 08 05:29:14 +0000 2018
Anikina_ER,"<e2><80><9c>There<e2><80><99>s only one Games changer, same as ever, and it can<e2><80><99>t get here soon enough: Los Angeles<e2><80><9d> https.co/JMOR7No098",Thu Feb 08 05:28:27 +0000 2018
iamjoonlee, mention nronharris i actually lol<e2><80><99>ed,Thu Feb 08 05:26:07 +0000 2018
JoyCTV,Large South Korean police presence outside Gangneung Arts Centre where the North Korean art troupe will perform ton<e2><80><a6> https.co/8Xo4hfMKu0,Thu Feb 08 05:24:59 +0000 2018
ChrisKnierim, mention ScottHamilton84 mention NBCOlympics mention Olympics mention TeamUSA I<e2><80><99>ll find you this week for sure!!!,Thu Feb 08 05:22:00 +0000 2018
sammichener,#tbt to unloading our bobsled crates last week for the Olympic Games. As you can see we pack<e2><80><a6> https.co/QjYBG2XCjU,Thu Feb 08 05:21:38 +0000 2018
TSNScianitti,We<e2><80><99>ll be fine. I<e2><80><99>m sure we<e2><80><99>ll be fine. I<e2><80><99>m positive we<e2><80><99>ll be fine. I almost confident we<e2><80><99>ll be fine.<e2><80><a6> https.co/tXGAoDaVUP,Thu Feb 08 05:21:35 +0000 2018
chicoharlan,and... fairly subdued. North Koreans were mostly stoic. Greeted politely by volunteers. Mobbed by cameramen on step<e2><80><a6> https.co/PtjZXnGk8A,Thu Feb 08 05:20:20 +0000 2018
Photog_AC_LV702,What am i suppose to do with this https.co/MYfbM27oJ9,Thu Feb 08 05:19:39 +0000 2018
OlympicsPFGC,We hope the inaugural #PyeongChangForum is the first of many. #GlobalCitizenship and #Sustainability are vital to o<e2><80><a6> https.co/2uAyqcfxIp,Thu Feb 08 05:19:01 +0000 2018
eunyangnbc,Curling! #winterolympics https.co/xn60CyquHn,Thu Feb 08 05:18:33 +0000 2018
ABauer_ATR,My dispatch from this morning at the #NorthKorea welcome center https.co/CBfDYmsPCh,Thu Feb 08 05:18:33 +0000 2018
halloitsalex,Fell down the travel rabbit hole today and sketched out a tentative four-month post-Korea Eurotrip by way of Kazakh<e2><80><a6> https.co/uHmuBTEDgU,Thu Feb 08 05:18:29 +0000 2018
OlympicsPFGC,"""PyeongChang is so small and it is now vital to you and to the world"" -PyeongChang Governor Moon-Soon Choi<e2><80><a6> https.co/9xH3eHvcNC",Thu Feb 08 05:18:29 +0000 2018
ansonhenry,This is my <e2><80><98>heck no<e2><80><99> face. #SkiJumpers... you can have it. mention CBCOlympics #UpWithCBC #Alpensia #PyeongChang2018 https.co/LPSFB0w92M,Thu Feb 08 05:17:34 +0000 2018
WaveydavyPA,Now I don<e2><80><99>t normally do this but this is my office for the morning at the top of the ski jump! Bit different to the<e2><80><a6> https.co/grC94mm9Xk,Thu Feb 08 05:15:03 +0000 2018
ISU_Figure,<f0><9f><a4><93> Olympic Fact: Gangneung Ice Arena consists of two basement levels and four above ground levels. Practice rink is<e2><80><a6> https.co/1vGNX9hauS,Thu Feb 08 05:11:24 +0000 2018
MarkConnollyCBC, mention Sperounes 2:09 pm on Thursday.,Thu Feb 08 05:10:08 +0000 2018
CoyWire," mention KrisKling You rock, KK! Thank youuuuu",Thu Feb 08 05:08:01 +0000 2018
CoyWire,Hey mention Kimzolciak &amp; mention biermann71 mention Meghanmtierney wants to say hi from #PyeongChang2018 mention usskiteam https.co/YBe49ZuUKs,Thu Feb 08 05:07:21 +0000 2018
Anikina_ER,<e2><80><9c>A total of 32 were reported initially but this number has grown to 86...<e2><80><9d> https.co/YDtvpy6E9H,Thu Feb 08 05:05:33 +0000 2018
Anikina_ER,"""They request that CAS overturn the IOC decision and allow them to participate in these Games...<e2><80><9d> https.co/8aPZ6Ij3DG",Thu Feb 08 05:04:01 +0000 2018
SkySportsLia,Lizzy Yarnold named as Team GB<e2><80><99>s flagbearer at the Winter Olympics,Thu Feb 08 05:04:00 +0000 2018
hightaec,Westworld Season 2 Superbowl Teaser Trailer Breakdown https.co/Li6eRzw82y via mention YouTube,Thu Feb 08 05:03:01 +0000 2018
hightaec,Ramin Djawadi best works are in Westworld. I love the simple rock band piano covers in S1 and the Kanye soundtrack<e2><80><a6> https.co/swUJrGoJLX,Thu Feb 08 05:02:00 +0000 2018
Anikina_ER,"""Our players are together, in the locker room, they mix and talk. This is our family and this is great."" https.co/8erUny07pU",Thu Feb 08 05:01:11 +0000 2018
pyeongchang2018,Be on the lookout a wild #Soohorang was spotted roaming around the Winter mention Olympics Games #PyeongChang2018 He is v<e2><80><a6> https.co/jIcvpPTpN6,Thu Feb 08 05:00:16 +0000 2018
jterdimanUSA,What a great write up! Thank you mention CitizensVoice! https.co/YHwj5dN4Zz,Thu Feb 08 04:58:17 +0000 2018
Anikina_ER,<e2><80><9c>We are 50 per cent underfunded in terms of what everyone wants us to do.<e2><80><9d> Reedie https.co/YlW1Nr6IeN,Thu Feb 08 04:58:12 +0000 2018
hightaec,They showed hosts from the Samurai World in the trailer. yasssssss #Westworld,Thu Feb 08 04:58:09 +0000 2018
BOBSLEDR, mention FallonTonight Go easy on the #Bobsled jokes!... We can't help the fact that we're wearing spandex in freezing temps!,Thu Feb 08 04:57:09 +0000 2018
LynnRutherford,". mention olyphil &amp; I are reporting daily for mention icenetwork at #PyeongChang2018. Here's an update on Nathan Chen and, from m<e2><80><a6> https.co/ZQPiVjsZtF",Thu Feb 08 04:48:55 +0000 2018
reedNews3LV,Hot towel service and warmed Cinammon almonds mention ManSlinger https.co/WwMbHlbNEa,Thu Feb 08 04:48:36 +0000 2018
reedNews3LV,Ha!!!! I<e2><80><99>d better move back. https.co/TDeoqUUecJ,Thu Feb 08 04:47:40 +0000 2018
harvsofficial, mention BillRoth_ Thanks for the shoutout Bill!,Thu Feb 08 04:46:47 +0000 2018
Versteegen,#olympicpark #gangneung looks #amazing and the #weather is great #sunnyday mention Gangneung https.co/D4VwS3ugxS,Thu Feb 08 04:46:33 +0000 2018
_brentan_,At the torch relay today #olympics2018 #torchrelay #gangneung #Korea mention Gangneung https.co/pgiXYJ35,Thu Feb 08 04:44:53 +0000 2018
koryodynasty,Muslim prayer room at #pyeongchang2018 Olympics scrapped after protests from religious organisations. Welcome to Ga<e2><80><a6> https.co/BbRJsqPOeK,Thu Feb 08 04:44:35 +0000 2018
suppeIsa, snowflake <ef><b8><8f><f0><9f><a5><87> Who<e2><80><99>s pumped for Olympic Curling?! #peyongchang2018 #WinterOlympics #Olympics #Olympics2018 #CBCOlympics #lol<e2><80><a6> https.co/UjHWX5JoUt,Thu Feb 08 04:44:04 +0000 2018
melissaaguila7,RT mention maaayyra_: My girl meli doing big things in life https.co/FORFOagRY1,Thu Feb 08 04:42:32 +0000 2018
reedNews3LV,The back of my head has never showcased so well as through the lens of mention NBCNews mention jaygraymatters #wintergames<e2><80><a6> https.co/uByQ64tWCE,Thu Feb 08 04:41:55 +0000 2018
swgirlinnwworld,Nothing like a welcome sign on the way out! Thanks for letting us bring #esports to #gangnueng<e2><80><a6> https.co/EZUl01Om8i,Thu Feb 08 04:39:02 +0000 2018
maaayyra_,My girl meli doing big things in life https.co/FORFOagRY1,Thu Feb 08 04:37:11 +0000 2018
lizclarketweet,Essential reading before Opening Ceremonies: mention barrysvrluga on the profound backdrop to the 2018 Winter Games. https.co/7pgwsmVTMU,Thu Feb 08 04:31:02 +0000 2018
Callumrsmith92,If ever there was a surer sign that it<e2><80><99>s time for a clothes wash... Last push before Sunday<e2><80><99>s 30km https.co/J5wydEhEXN,Thu Feb 08 04:30:44 +0000 2018
NishatNYC,"RT mention OlympicsPFGC: Entertainment during the lunch hour today! This afternoon, we have Session 3: PyeongChang: Its Dream for the Future. A<e2><80><a6>",Thu Feb 08 04:29:12 +0000 2018
ossianshine,Groundskeeper Willie at the Olympic Games #PyeongChang2018 #TheSimpsons https.co/W9NyEqrlK7,Thu Feb 08 04:28:18 +0000 2018
Mnadolny,"Kevin is a big fan of Canada. He loved the mention Komak pin I gave him, but he thought it was a kangaroo #MoreCanada https.co/UW84dDotLg",Thu Feb 08 04:24:46 +0000 2018
AamerISmad,Luger Erin Hamlin poses with U.S. flag after it<e2><80><99>s announced Team USA athletes picked her to serve as flag-bearer fo<e2><80><a6> https.co/671YYGnbgX,Thu Feb 08 04:23:27 +0000 2018
jeanelassen,Pretty big moment on the lounge!! #teamcanada https.co/7mKIFTDsfo,Thu Feb 08 04:20:05 +0000 2018
nzolympics,Can you imagine how it would feel to walk into and Opening Ceremony of an Olympic Games? Because these athletes wi<e2><80><a6> https.co/MWZnAIqZvH,Thu Feb 08 04:18:33 +0000 2018
Life_Corea,"Many peoples protest the the Moon's policy, to anchor the ManKyongBong. They set the fire on the North Korean Flags<e2><80><a6> https.co/dOpvqAAq1h",Thu Feb 08 04:18:07 +0000 2018
NMoralesNBC,"Our #teamusa flag bearer mention erinhamlin! 4th Olympics, competing in the Luge, and ready to do the<e2><80><a6> https.co/rUEowYZLhZ",Thu Feb 08 04:17:39 +0000 2018
tcdonovan,#olympics #pyeongchang We<e2><80><99>re on the Air! Checkout NBC SportsNetwork!! And on NBC Thursday<e2><80><a6> https.co/hgYnIIYqhj,Thu Feb 08 04:15:34 +0000 2018
amandabiathlon1, mention beastieuk1975 No:. You have to deduct 9hours,Thu Feb 08 04:13:54 +0000 2018
amandabiathlon1, mention GDowler1 Just watch the women's..,Thu Feb 08 04:13:40 +0000 2018
MaiaShibutani,1st practice at the #WinterOlympics white heavy check mark https.co/TuWfmzXqS2,Thu Feb 08 04:13:40 +0000 2018
LeeW_Sport,"in #pyeongchang Princess Anne (IOC, A, Queen's daughter) was just in village coffee shop chatting casually. Think I might be starstruck",Thu Feb 08 04:13:21 +0000 2018
OlympicsPFGC,"Entertainment during the lunch hour today! This afternoon, we have Session 3: PyeongChang: Its Dream for the Fut<e2><80><a6> https.co/JP85QzLN1c",Thu Feb 08 04:09:16 +0000 2018
FlySmartJets,"We have arrived in #Korea - most other athletes have to fly to Seoul and travel overland, but our team flew direct<e2><80><a6> https.co/4xRHwcmH2N",Thu Feb 08 04:08:44 +0000 2018
mhjd_85, mention rockerskating Then I realized I<e2><80><99>m 32 years old. And my body hurts sometimes.,Thu Feb 08 04:08:21 +0000 2018
GregMescall,Snowboard cross press conference up ne. Far left is Lindsay Jacobellis who is gearing up for her fourth Olympics.<e2><80><a6> https.co/HsqFczLtvk,Thu Feb 08 04:08:20 +0000 2018
OnePenny123,"today's stats : 1 new unfollower, 14 non-followers. found via https.co/e5hOiJugfy",Thu Feb 08 04:08:10 +0000 2018
mhjd_85, mention rockerskating I seriously considered this.,Thu Feb 08 04:07:40 +0000 2018
