screen_name,status_text,status_created_at
xxdoongan,RT @MB_destiny9397: พรุ่งนี้แล้วเจ้าจะเข้าพาขวัญญญ อื้อออหื้อออ ทีมเจ้าบ่าวเจ้าสาวพร้อมกันน่าดู แต่ กูทีมคนข้างบ้านไง 5555555 https://t.co/…,Sat Feb 10 02:15:00 +0000 2018
poru__Sd,RT @Levi__Kim: 개회식 때 도깨비들이 쓰고있던 탈은 방상씨 탈입니다. 동북아 3국에서 악귀를 쫓는 수호신으로 널리 섬겨졌던 수호신이에요. https://t.co/u8dUYwPQAL,Sat Feb 10 08:52:26 +0000 2018
1exo_0124,RT @LizaShaprita: #EXOL #BestFanArmy #iHeartAwards @weareoneEXO PENGUIN SOO https://t.co/FwRCvj3w1a,Fri Feb 09 14:08:31 +0000 2018
junhochoo,@deepforest35 그랬군요~,Sat Feb 10 14:21:02 +0000 2018
mmuk6168,RT @maple140452: ไม่ใช่ว่ามีคนไปตามหาเชือกที่เตนล์ใส่นะ อีเวนนั้นสายสิญจน์😂 #เตนล์ https://t.co/oerQ9naKs8,Thu Feb 08 18:56:57 +0000 2018
Na___Biya,"RT @HuffPostKorea: 검찰, 서지현 검사 방 뺐다
서 검사와 일하던 직원들도 다름 검사실로 배치됐다

https://t.co/buhcUS7pM6 https://t.co/Fh932ZW7cu",Fri Feb 09 05:27:30 +0000 2018
shinyview,"RT @qlrvkdlqlrvkdl: 1218개의 드론으로 구현한 오륜기
CG 아니고 실화 맞냐? ㄷㄷㄷㄷㄷ
국뽕 차오른다~~~~ https://t.co/hMNuqBCs7I",Fri Feb 09 15:23:14 +0000 2018
dyonini_,"RT @Hyarara_412: 180210 대만 엘리시온
경수가 은박지 당기니깐 찬열이 뿅 나와써 🤣🤣🤣🤣🤣
둘이 장난치는거 너무 귀야워 😍
#iHeartAwards #BestFanArmy #EXOL @weareoneEXO https://t.co/s…",Sat Feb 10 13:33:45 +0000 2018
Xiazasu,@_ZZENIE_ 아주좋아👏👏👏👏👏,Sat Feb 10 01:48:06 +0000 2018
ms_f_,RT @selle981: 수호랑 머리 너무 커서 다들 같이 셀카찍기 힘들어하는거 너무 웃기고 귀엽ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/lZA0KSYSXv,Fri Feb 09 13:23:30 +0000 2018
Meloveot7,"RT @BTSTEAMRP: BTS - MIK DEROP
NEW REMIX

@BTS_twt #BTSArmy #iHeartAwards #BestFanArmy https://t.co/dwehg8Ji8c",Thu Feb 08 16:19:02 +0000 2018
shua1003,RT @iniq0428: 180210 울산광화문연가 성규 퇴근 :: 안녕안녕안녕~~~😍😍😍😍 https://t.co/nnAodsMn5d,Sat Feb 10 09:22:24 +0000 2018
AbuImagna,"RT @sudal23311: @iHeartRadio @tacobell V
#iHeartAwards #BestFanArmy #BTSARMY @BTS_twt",Sat Feb 10 14:24:54 +0000 2018
kaila1441,"RT @bookpal_comics: 🍓RT추첨 티켓증정!🍫
민무늬 옷에
포인트 주기 좋은
깜찍한 귀걸이!
치링치링 챠비별
할인티켓정보👉프로필 링크 클릭 https://t.co/tW7MKGBQCF",Fri Feb 09 01:19:30 +0000 2018
0711ruanchan,RT @selle981: 수호랑 머리 너무 커서 다들 같이 셀카찍기 힘들어하는거 너무 웃기고 귀엽ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/lZA0KSYSXv,Fri Feb 09 13:32:06 +0000 2018
donglang94,"RT @hereare0318: 어떤 이야기와 노래를 들려드릴까도 고민중인데 잘 준비해서 보여드릴게요
많이 찾아와주세요 홍보부탁드립니다🙏🏻 https://t.co/sly3GF0vtN",Sat Feb 10 02:04:46 +0000 2018
Shahzad_saleem,RT @hadi75757: #AwamKoSaafPaniDo https://t.co/01VMbVIvsm,Sat Feb 10 14:47:01 +0000 2018
mwpark0819,@ivyuriri 맞아요ㅠㅠㅠㅠㅠ역시 연느님ㅠㅠㅠㅠ 빙상에 잇을때 정말 감격에 눈물이 주르르규ㅠㅠㅠㅠㅠ,Fri Feb 09 15:45:38 +0000 2018
seven_se_ven,RT @GeumNa: 하이파이브의 어려움😂ㅋ https://t.co/vklrxuluRr,Fri Feb 09 03:19:37 +0000 2018
duckomg,RT @sey8n: 아기 공룡💚❤️💙 https://t.co/ll5NSwGwq9,Sat Feb 10 11:05:24 +0000 2018
_koi_103,"RT @qlrvkdlqlrvkdl: 1218개의 드론으로 구현한 오륜기
CG 아니고 실화 맞냐? ㄷㄷㄷㄷㄷ
국뽕 차오른다~~~~ https://t.co/hMNuqBCs7I",Sat Feb 10 06:04:50 +0000 2018
1104_1210,"RT @hereare0318: 어떤 이야기와 노래를 들려드릴까도 고민중인데 잘 준비해서 보여드릴게요
많이 찾아와주세요 홍보부탁드립니다🙏🏻 https://t.co/sly3GF0vtN",Fri Feb 09 08:53:49 +0000 2018
